dialogue,ground_truth,zero_shot_summaries,one_shot_summaries
"Amy: I'm going to bed   Patrick: Already??   Amy: yeah, I'm tired   Patrick: OK, I'll try not to wake you up...   Amy: thx",Amy's going to bed.,"   Amy and Patrick are discussing Amy's plans to go to bed early. Patrick is surprised, but Amy is tired and wants to go to bed. Patrick",!   Amy is going to bed and Patrick will try not to wake her up.
"Filip: My dears, can you send me the pictures from yesterday?   Jacek: Exactly, me too please   Asia: <file_photo>, <file_photo>, <file_photo>, <file_photo>   Asia: These are the ones I have. The rest should be on your girlfriend's phone?   Jacek: I will check with her and let you know :P",Jacek will check his girlfriend's phone for the pictures from yesterday and will let Asia and Filip know.,"   Filip and Jacek asked Asia for pictures from the previous day, and Asia sent them four photos. Asia suggested that the rest of the photos may",   Filip and Jacek asked Asia for pictures from the previous day. Asia sent them four pictures and suggested that the rest may be on Jacek's girlfriend's
"Patricia: <file_other>   Patricia: What kind of people enjoy hurting animals?!   Patricia: They are the worst monsters!!!   Edgar: I agree. You send me a link but I don't know if I want to open it.   Edgar: I'm really sensitive about it.   Patricia: Guy took newborn kittens he didn't want, put them in a bag and threw it to the river.   Edgar: Fuck. I hate it.    Edgar: I'm sorry, but I get really agressive when I hear something like that.   Edgar: I feel like putting this man into a bag and throw it to the river!   Patricia: They charged him with animal abuse.   Patricia: But there are more people like him out there.   Patricia: I hate it.   Edgar: I really don't get it. Why people are so cruel?   Edgar: I understand fighting with other people   Edgar: Survival instinct or whatever.   Edgar: But this acts of cruelty? I really don't get it.   Patricia: I cried today when I read it.    Patricia: I want to kick this guy in the nuts and then rip it off and throw it to the river   Edgar: Wow. Honey easy. Don't talk to me about ripping off nuts. Please. I already feel it :P   Patricia: Maybe harsh, but this is what I feel like doing when reading something like this.   Edgar: I know. It's ok. Kittens were rescued, so it ended well.    Edgar: Man got charged with animal abuse and animals are safe now, looking for a new home.    Patricia: Yeah, I feel glad that it ended that way.   Patricia: But it strikes me how many such cases don't.   Edgar: Fortunately the law is getting more and more strict about animal abuse, so there is hope in human kind.   Patricia: You're right. Sorry I spilled it out at you, but I had to.   Edgar: I know :) See you at home :)",Patricia and Edgar have a conversation about animal abuse. They both deplore it.,   Patricia and Edgar are discussing animal abuse. Patricia is horrified by a story of a man who threw newborn kittens in a bag into a river. Edgar,"     In this conversation, Patricia and Edgar discuss animal abuse and how it affects them emotionally. They both agree that it is wrong and that the law is"
Lidia: i want scrambled eggs   Lidia: can you do it for me?   Rita: ok :),Rita'll prepare scrambled eggs for Lidia.,   Rita agreed to make scrambled eggs for Lidia.,     Lidia asked Rita to make her scrambled eggs.
Tara: Do you want to order some burgers?   Lia: deliveroo?   Sara: I want!   Tara: yes   Tom: from what place?   Tara: Off the hook?   Tom: perfect!   Lia: nice!,"Tara, Lia, Sara and Tom will order some burgers from 'Off the hook'.","   Tara suggested ordering burgers, and Lia suggested using Deliveroo. Sara said she wanted to order, and Tara agreed. Tom asked what place they should","   Tara suggested ordering burgers from Off the Hook, which Tom and Lia agreed to."
"Hannah: have you ever heard of Arbonne cosmetics?   Sylvia: yeah, direct selling, right?   Hannah: exactly   Sylvia: to be honest, Im not a fan   Sylvia: I prefer to go to Rossmann, touch and see everything before I buy   Hannah: thats right","Hannah and Sylvia heard of Arbonne cosmetics which is direct selling, but they prefer to go to Rossmann where they can touch and see eveything before they buy it. ","   Hannah asked Sylvia if she had heard of Arbonne cosmetics, which Sylvia confirmed is a direct selling company. Sylvia then expressed that she is not",", I understand     Hannah asked Sylvia if she has heard of Arbonne cosmetics, which Sylvia confirmed is a direct selling company. Sylvia is not"
"Stef: Hi Eleonor, we're still in Munich and you're moving again... So lucky   Eleonor: yes, Barcelona is a nice place to go, come and visit us   Stef: I'd love to   Eleonor: me too   Stef: i gave your new adress to a friend who is also leaving for Munich. She's very nice with 2 kids, the same age as yours   Eleonor: fine, let's see if she's fun😜   Stef: here is her contact   Stef: <file_other>   Eleonor: thanks   Stef: I met Sophia next week, she told me you met and get on well... great! I told you she was nice!   Eleonor: we had fun last week, look at the pic   Eleonor: <file_photo>   Stef: wha-uhh, it's great to see both of you, enjoy your time together   Eleonor: <file_photo>   Eleonor: as you live in Munich, may be you have information about this.   Stef: no but i could ask around if you want   Eleonor: yes please. I've told it has been created by a german teacher   Stef: ok i'll tell you   Eleonor: it's very well known in Germany and also used by doctors, but really i'm doubtful   Stef: This is the answer from a friend of mine , very invested in all theses activities. She isn't convinced by it.   Stef: <file_other>   Eleonor: thanks a lot   Stef: if you need to talk to her or have more information, let me know   Eleonor: great i will. Hug to all of you   Stef: ciao bella",Eleonor is moving to Barcelona. Stef is still in Munich. Stef gave Eleonor's address to a friend. Eleonor met that friend and enjoyed it. Eleonor asks Stef if she has more information on a certain topic. Stef asks around and sends Eleonor her friend's opinion on that matter. ,   Stef and Eleonor are discussing a program created by a German teacher that is well known in Germany and used by doctors. Eleonor is,"!   In this conversation, Eleonor and Stef discuss Eleonor's move to Barcelona and a German teacher's activity that Eleonor is doubtful"
"Sweeny: I can't find the chord to Cocaine, any ideas?   Donna: B flat? When all else fails? LOL!   Sweeny: Never mind I'll Google it!",Sweeny asks Donna about the chord to Cocaine.,"   Donna suggested B flat as a possible chord for Cocaine, but Sweeny decided to look it up online instead.",     Sweeny is trying to find the chord to Cocaine and Donna suggests B flat as a possible solution. Sweeny decides to Google it
"Robert: How's your trip?   Beccy: Aweful to be honest   Robert: Why?   Beccy: I have no seat. So I'm sitting on my suitcase on the train corridor between compartments :(   Beccy: My back is aching.   Robert: Try to remember a video from my trip to China, when I travelled by train with no seat a 10 hour train trip xD","Beccy had a terrible trip, because she didn't have a seat on the train. Robert had travelled in China 10 hours without a seat.","   Beccy is having a terrible trip on the train as she has no seat and is sitting on her suitcase in the corridor, causing her back to",   Beccy: That's not helping!   Beccy is having a bad trip as she has no seat and is sitting on her suitcase in
"Jemma: I found this awesome deal   Dottie: ??   Jemma: for a winter vacation, look! <file_other>   Dottie: wow, looks really good!   Jemma: right?   Dottie: and the price includes ski passes?   Jemma: yes!!   Dottie: which dates were you tinking of?   Jemma: end of february   Dottie: *thinking   Jemma: would you like to go?   Dottie: I’l have to check a few things but in general - yes!!   Jemma: Yeeey so much snow fun   Dottie: :D",Jemma found a good deal for winter holidays. Ski passes are included in the price. Dottie is interested to join her.,   Jemma found a great deal for a winter vacation and showed it to Dottie. Dottie was impressed with the deal and asked if,   Jemma found a good deal for a winter vacation and offered to go with Dottie. Dottie is considering the offer and will check
"Olivia: Lil, I'll be late for sure.   Lily: Gosh, girl!   Olivia: Sorry.   Lily: It's not ok, I'm freezing here with a bunch of jerks.   Olivia: I have horrible mud butt.   Lily: Ahahaha. What am I going say to Josh?    Olivia: No idea, I'll take some pills and it should be fine.   Lily: Should I tell him that the girl he wanted to fuck tonight has diarrhea but she will be ok soon?   Olivia: ahhah, ok-ish at least.   Lily: Sexy!   Olivia: We don't need to go anal! :P   Lily: LOL   Olivia: Just wait a bit, I'll solve it and take an Uber.   Lily: I give you 15min, then I am going to the guys. I am not a fucking snowman, not even for you butt emergency.   Olivia: My butt is doing its best. :* ",Olivia informs Lilly that she's running late due to problems with diarrhea and Lily is not ok with it as she's freezing and wondering what she's going to tell Josh.,"   Lily and Olivia are discussing Olivia's lateness. Olivia apologizes and Lily is not happy about it. Olivia then reveals she has ""mud butt","   Olivia is running late and Lily is waiting for her. Olivia has a ""mud butt"" emergency and Lily is not happy about it. Lily"
Anna: do u know where my red brush is?   Anna: i can't find it :(   Mary: I saw it in the bathroom.,"Anna can't find her red brush, and Mary saw it in the bathroom. ",   Mary told Anna that she saw her red brush in the bathroom.,     Anna is looking for her red brush and Mary saw it in the bathroom.
"David: I have to share my unpopular opinion with you   David: Newborn kids are ugly. Don't argue since there's no point.    David: Newborn kids are ugly af and people showng off their ugly babies on social media are mentally disabled people.   Jack: Hahaha. I've got your back.   Jack: I totally agree.   Jack: Social media exhibitionism has gone too far in my opinion.   David: I agree, but that's not the point.   David: Little kittens - cute   David: Puppies - cute   David: Little Panda - cute as fuck   David: But a human child is extremely ugly   David: Looking like a gnome leaving a mud cave   David: And I totally don't understand parents who post pictures of these  creatures.   Jack: ROFL   Jack: You made me laugh so hard i peed myself   David: hahahaha",David and Jack think newborn babies are ugly. They dislike the fact that parents so often share their babies' pictures via social media.,   David and Jack shared an unpopular opinion that newborn babies are ugly and that people who post pictures of them on social media are mentally disabled. They also joked,"     In this conversation, David and Jack agree that newborn babies are ugly and that people who post pictures of them on social media are mentally disabled. They"
Jose: bus is running late   Ben: how long?   Jose: so far 4 mins   Natalie: ok   Ben: ok let us know when you're on,Jose's bus is running 4 minutes late.," your way   Jose told Ben that the bus was running late and had been for 4 minutes. Ben and Natalie both said ""ok"" and Ben asked Jose", your way   Jose: will do     Jose is waiting for a bus that is running late. He has been waiting for four minutes so far. Ben
"Jason: OMG this article I read, you guys..   Mark: The one you send me earlier?    Jason: Yeah! That’s the one   Bob: What about it?    Jason: It’s just so eye-opening, it’s about resumes, how we throw those that don’t look neat and well organized, and how people that don’t have skills to spice them up might not get a job just cause they suck at word, but may be good at what they do   Bob: Sounds like garbage, everyone know you gotta know office programs now   Mark: Not necessarily, what about people that don’t even use it, and they have to write sth like that, like older people   Jason: I know and I’m thinking of an app now to generate the organized content for those   Bob: And of course for free? You have no head for business   Jason: Maybe, but maybe someone also will get a job cause of it:D   Bob: If you say so   Jason: Maybe I'll sell it to some portal that hires people   Bob: Jason our savior;D",Jason thinks because of lack of computer skills a lot of people are excluded from possibility of being recruited to work. Bob and Mark are skeptical. Jason is thinking of creating an app to ease the process of creating a resume.,"   Jason and Mark were discussing an article Jason had read about resumes. Jason thought it was eye-opening, as it highlighted how people who don't have","   In this conversation, Jason is discussing an article he read about resumes and how people who don't have the skills to make them look neat and organized may"
"Nick: Opinions required! Gas or induction hob?   Ben: Having lived with an induction hob for a while, i’m not convinced..    Ruth: induction- very sleek and quick to boil!   Ben: but it doesn’t maintain a constant temperature! Is it typical of all induction or i just got an old one?   Ruth: they pulse if use don’t use proper pans   Ben: what do you mean proper? Do you mean better+heavier?   Ruth: yeah, simply suitable   Ben: and i guess i have to learn how to use it..   Ruth: yeah, it’s just different comparing to gas   Christian: gas, absolutely without a question- nothing else gives you the control!   Nick: I’m definitely more interested in a controllable consistent heat   Mary: with induction it’s like on and off so you have to regulate temperature..    Kate: induction- yes, gas- no cause it takes ages to boil water!   Tim: you can always use an electric kettle you know?   Kate: haha! Not funny!   Kate: it’s easier to clean as well.   Harry: I’d go for induction cause it keeps the temp after you finish cooking so the food is still warm    Tom: Induction! 100%   Susan: our induction was terrible! I think it’s common!   Emma: another vote for induction here!    Ruth: All chefs seem to say gas!   Tom: I sell more induction hobs then gas! It’s getting popular and i can see why!   Emma: we got ours from the John Lewis outlet so it was ex display and therefore very affordable!   Nick: cheer guys for all your opinions! Great talk! I think i’ll go for.. Induction.",Nick decided to buy an induction hob.,"   Nick asked for opinions on whether to get a gas or induction hob. Ben had experience with an induction hob and wasn't convinced, but Ruth said it","   In this conversation, Nick asked for opinions on whether to get a gas or induction hob. Most people voted for induction, citing its sleekness, quick"
"Tom: Hi :-)   Alan: Hey!   Tom: I've got a question.   Alan: Go on.   Tom: Will you lend me your car?   Alan: Sorry?   Tom: There's something wrong with mine. I can hear some strange noises. It's Sunday. I won't find any garage open today and I need a car.   Alan: Why mine?   Tom: Because I like it. Because you owe me 200 quid and because you are a good man.   Alan: <file_photo>   Tom: A good one. But that's not the answer.   Alan: I need to talk to Sally.   Tom: Is it her car or yours.   Alan: Ours.   Tom: <file_photo>   Alan: Oh, really? You don't win me by sending me such pics.   Tom: Alan, do you like being begged? I wouldn't ask you if my car was ok.   Alan: I'll give you the answer in an hour.   Tom: Ok. Waiting. I hope Sally is in a good mood today.   Alan: I hope so too!   Tom: <file_gif>",Tom wants to borrow Alan's car but Alan needs to ask Sally first.,   Tom asked Alan to lend him his car because his own car was making strange noises and it was Sunday so he wouldn't be able to find a garage,"     In this conversation, Tom is asking Alan to lend him his car because Tom's car is making strange noises and he needs a car on Sunday."
"Hippolite: Where did you put the garage key?   Lola: In the hall cupboard, top drawer.    Hippolite: Got it :*","Lola put the garage key in the hall cupboard, in the top drawer.","   Hippolite asked Lola where the garage key was, and Lola replied that it was in the hall cupboard, top drawer. Hipp","   Hippolite asked Lola where the garage key was and Lola told him it was in the hall cupboard, top drawer. Hippol"
"Pete: What are you doing tonight?   Claire: I'm studying -.- or at least pretending to.   Pete: rotfl, won't you need a break at some point?   Claire: Maybe, why?   Pete: Oh, I thought we could go for a walk, it's so nice outside   Claire: I'd love to but I really need to study...   Pete: Oh, OK, maybe some other time then.   Claire: Yeah, maybe some other time.","Claire would like to go out with Pete, but she needs to study.","   Pete suggested to Claire that they go for a walk outside since it was nice, but Claire declined as she needed to study. Pete accepted her decision","   Pete suggested going for a walk outside, but Claire declined due to needing to study. They agreed to do it some other time."
"June: What do you want for Christmas?   Don: I don't have any special wishes.    Don: I'd like to spend some time together, that's all.   June: I see. You're not making things easier ;)   Don: And what do you want?   June: Hm, okey, I get it.   June: Same as you, in fact.   Don: You see, it's east :D   June: ^^",Don doesn't want anything special for Christmas. He would like to spend some time with June.,"   June and Don are discussing what they want for Christmas. Don says he doesn't have any special wishes, but would like to spend some time together."," In this conversation, June and Don both express that they would like to spend time together for Christmas rather than receive gifts."
Garry: <photo_file>   Idan: What is this?   Garry: The recipe you've been asking for   Olivia: Thanks 😘   Idan: Awesome!   Idan: I'll cook it tomorrow   Idan: Need to buy the ingredients ,Garry sends Olivia and Idan the recipe which Olivia requested. ,"   Garry sent a photo file to Idan, which was the recipe Idan had been asking for. Olivia thanked Garry for the recipe, and Id","   Garry sent Idan a recipe that Olivia was asking for. Idan is excited and plans to cook it tomorrow, but needs to buy the ingredients"
"Stefano: Are you still riding the bikes?   Jeremy: sure, for another week at least   Stefano: where are you?   Stefano: Costa Smeralda?   Emma: not yet!    Emma: we're close to Nuoro   Stefano: so you're much slower than expected   Julia: because it's very beautiful here, really   Julia: so we decided to take it easy   Jeremy: also Julia was sick for a few days so we slowed down a bit   Julia: ahaha, I was dying actually, it was a horrible flu, so I really couldn't ride a bike   Stefano: sure, this is understandable   Stefano: will you come back to Cagliari?   Jeremy: no, I think we will take a ferry from Olbia to Tuscany and then fly from there to the UK   Stefano: I see, pity ","Jeremy, Emma and Julia are still riding their bikes. They're close to Nuoro now. Julia was sick, so they had to slow down for a few days. They're not coming back to Cagliari, which is a pity for Stefano. They'll take a ferry from Olbia to Tuscany and fly to the UK from there.",   Stefano and Jeremy are riding bikes and are currently close to Nuoro. They are going slower than expected because they are taking their time to enjoy,   Jeremy and Julia are riding bikes and are currently close to Nuoro. They are slower than expected because they are enjoying the scenery and Julia was sick for
"Henry: I'm slowly loosing faith in humanity...   Luke: not a start of a conversation I'd expect but go on :P   Henry: Well it is a justified exaggeration.   Luke: let me be the judge of that   Henry: I just read some ""interesting"" articles about the new Rise of the Shield Hero anime   Luke: oh great, they are at it again?   Henry: Goblin Slayer part 2   Luke: what's the problem this time?   Henry: Depiction of women and slavery   Luke: I can see the part with slavery but why depiction of woman?   Henry: Well you know, how the girl falsely accused the main hero and made him look like a scumbag   Luke: well she kinda did that, so what's the problem?   Henry: Giving a bad image to women I guess   Henry: I don't really understand   Luke: you're not the only one   Henry: Or maybe I don't want to understand   Henry: Because if I do, my first statement will definitely be true   Luke: they fail to see some major things   Luke: it's fiction   Luke: going on a crusade against an anime just damages the things they fighting for   Luke: honestly it's borderline ridicule   Henry: You don't need to tell me that   Henry: And they just won't listen   Luke: let them be   Luke: I don't think their ""crusades"" will change anything   Luke: and we'll just keep watching what we enjoy   Henry: True   Henry: Just needed to get that out of my chest","Luke and Henry are unhappy about people being on a crusade against the anime, this time the Rise of the Shield Hero. ","
Henry and Luke are discussing the new Rise of the Shield Hero anime and Goblin Slayer part 2. Henry is frustrated with the depiction of women and slavery in the","   Luke: I understand In this conversation, Henry and Luke discuss the new Rise of the Shield Hero and Goblin Slayer anime, and how some people are criticizing them"
"Tom: Did you feed the cat?   Harry: I did, I gave him two sachets.   Harry: Don't give him anything. He's already to fat.   Tom: But he's looking at me like he's never eaten before.   Harry: You can give him something in two hours.","Harry fed the cat two sachets of food. According to Tom, the cat looks hungry. Harry allows to feed him in two hours.","   Tom asked Harry if he had fed the cat, and Harry said he had given him two sachets. Harry then warned Tom not to give the","   Tom asked Harry if he had fed the cat, and Harry said he had given him two sachets. Harry warned Tom not to give the cat"
"Nicole: Guess what! I've got a puppy!   Frank: What??? You never mentioned you wanted one!   Nicole: I know but I just met this guy with a bunch of puppies!   Frank: And you bought one?   Nicole: No! He actually gave me one for free. It's not pedigree or anything, but it's just super cute!   Frank: I guess it is. Is it going to be big? Did you see the mother?   Nicole: Nope, but the guy told it's kind of medium big. But dangerously sweet.   Frank: I hope u know what ur doing. Need to run now.   Nicole: Will you come to see Sassy soon?   Frank: Sassy is the name, then?   Nicole: Right. He's so lively and gonna defend me in the future.   Frank: Nics, I see you're going to be hard to bear for a couple of weeks.   Nicole: Why?   Frank: Just a gut feeling. Anyway, I'll come and see your Sassy 2moro.   Nicole: OK. We're looking forward to seeing you!   Frank: Yeah, I guess. Bye for now. ",Nicole took in a puppy and named it Sassy. According to the previous owner he is going to be medium big. Frank will come and see Nicole's puppy tomorrow.,   Nicole got a puppy for free from a guy with a bunch of puppies. Frank was surprised but asked questions about the size and mother of the puppy,"   Nicole got a puppy from a man with a bunch of puppies for free. Frank is skeptical but agrees to come and see the puppy, named S"
"Anya: What time should I order the Sushi?   June: It always takes a little while for it to be delivered so maybe 19:00 PM?   Anya: Yeah that seems like a good time. What should I order?   June: I could go for some california tempura and salmon rolls 🤤    Anya: I want those too, and some chao-chao rice aswell.   June: Okii. Sounds good.   Anya: What time are you arriving home?   June: Around 19:30 PM. Just have to finish grading a few exams.   Anya: Alright, keep on the good work. Love you.   June: Thanks babe, love u too.",Anya will order some two portions of California tempura and salmon rolls and some chao-chao rice for 19:00. June will arrive home at 19:30.,   Anya and June are discussing what time to order sushi and what to order. They decide on 19:00 PM and California Tempura and Salmon Rolls,"     Anya and June are discussing what time to order sushi and what to order. Anya will order California tempura, salmon rolls, and ch"
"Ken: so how do you propose we settle this?   Jacob: we should apologize to them, it's the safest way   Ken: i was thinking the same   Jacob: should i draft an email?   Will: hell no guys, it was their fault   Jacob: we know but it will be a lot worse if we don't act smarter   Ken: and we can use it for our advantage later   Will: i don't think so, we should stand our ground, it was not our fault and we should not take the fall for it   Ken: so what are you suggesting?   Jacob: yea Willy, what should we do ? I really see no other option :/   Will: i did not think about that yet   Ken: we have to reply today you know that   Will: I know, I just need a minute to think about it   Jacob: you had the whole week to do that   Will: and I will do that now, chill - i will let you guys know what's the plan soon   Jacob: please do, otherwise i am sending that email",Ken and Jacob agree they should apologize to them and want to send an email. Will disagrees with them. He will quickly think of another solution.,   Ken and Jacob were discussing how to settle a situation and Will suggested that they should stand their ground and not apologize as it was not their fault. Jacob," Ken and Jacob are discussing how to settle a dispute. Will suggests that they should stand their ground and not apologize, as it was not their fault. Ken and"
Jamie: How about some drinks after work?   Paul: I can't. Family obligations   Martin: Me neither. Sorry dude,Paul and Martin can't go for a drink with Jamie after work due to family obligations.,"   Jamie asked Paul and Martin if they wanted to get drinks after work, but Paul and Martin both had family obligations and were unable to join.",".   Jamie suggested getting drinks after work, but Paul and Martin both declined due to family obligations."
"Jane: Where is everyone, the place is packed! :D   Micah: We are on our way :) Is there a huge line?   Jane: What do you think? I am in it, but if you don't come soon I am entering :p   Rudolph: Eve and I will be there in a minute :)   Micah: Us too, we are two streets away",Jane is standing in a huge line. Rudolph and Eve will join her in a minute. Micah says they are two streets away.,   Jane and Micah are discussing the fact that the place is packed and Jane is already in line. Rudolph and Eve are on their way and Micah,!     Jane is in a line at a packed place and Micah and Rudolph are on their way. Eve and Micah will be there in a
Alice: I never wanted a maternity photo shoot but after seeing this one I've changed my mind! ;)   Kate: Oh! so sweet!   Gina: that is just adorable!   Mary: now i want one too! thanks! ;)   Lisa: me too but.. i'm not pregnant! haha!   Emma: so precious!!! x   Tina: i really like this one too! lovely!,Alice really likes a maternity photo shoot she's seen and so do her friends.,"   Alice changed her mind about wanting a maternity photo shoot after seeing one, and her friends Kate, Gina, Mary, Lisa, Emma, and Tina all","   Alice changed her mind about wanting a maternity photo shoot after seeing one, and the other people in the conversation were impressed by it and also wanted one,"
"Anna: How are you?   Greg: Not great...   Anna: Do you want me to come over?   Greg: I don't think it's a good idea   Anna: Why? I just want you to feel better   Anna: We can talk   Greg: Sure...   Greg: Like last time we ""talked""",Greg is not feeling well but does not want Anna to come over.,"   Anna offered to come over to Greg's to talk and make him feel better, but Greg declined, saying it wasn't a good idea. Anna asked","   Anna: That was different, I promise   Greg: Okay, come over     Anna offered to come over to Greg's to talk and make him"
Tilda: how was your date?   Keanu: I was stood up   Tilda: wtf   Keanu: I finished my rose latte and went home   Tilda: that's terrible   Keanu: as soon I came home I burst into tears   Keanu: I feel so humiliated   Tilda: maybe sth happened   Tilda: and if that person acts this way it's better sooner or later to find out   Keanu: dating is exhausting   Keanu: and not dating is exhausting too   Tilda: I'm sorry   Keanu: I feel like shit   Tilda: it doesn't reflect your value   Tilda: try to remember that,Keanu is sad because his date didn't show up. He drank his coffee and went home to cry.,"   Keanu went on a date but was stood up, so he finished his rose latte and went home. He was embarrassed and felt humiliated, but","   Keanu: yeah   In this conversation, Keanu was stood up on a date and felt humiliated. Tilda offered comfort and reminded Keanu that"
"Anette: Are you doing anything on Sunday?    Anette: I want to go for a lunch with the kids, maybe a pizza, you want to join us?   Kim: Sure, good idea!   Anette: Great :) I'll make a reservation at Gianni's    Kim: OK, 3pm?   Anette: That's perfect.",Anette and Kim are going out to have a pizza with their children on Sunday. Anette will make a reservation at Gianni's for 3 pm.,   Anette and Kim are planning to go to Gianni's for lunch on Sunday with the kids. Anette will make a reservation and they will meet,   Anette and Kim are planning to go for a lunch with the kids on Sunday at Gianni's at 3pm.
"Dean: Would you like to catch a movie later?   Rory: I have to study, Dean.   Dean: Come on, you studied whole last week   Rory: I have finals Dean!   Dean: I'm your boyfriends Rory! I hardly ever see you.   Rory: If I fail I will never get into Harvard.   Dean: What is one night in all that.   Rory: You don't get it Dean! It's really important to me!   Dean: Fine! See you in a month!   Rory: I don't know, I might have to study, too!   Dean: Two months then! And happy anniversary because it's in five weeks but I guess we won't be seeing each other for that either!   Rory: ARGH you make me crazy. How can you compete with my stydying time?!   Dean: I don't know, I must be crazy to want to spend time with my girlfriend.   Rory: ARGH","Dean wants to see a movie with his girlfriend Rory, but she's studying hard for her exams. He's angry with Rory for focusing just on her study and not him, and they argue. ",!   Dean and Rory are arguing about whether or not Rory should take a break from studying to go to the movies with Dean. Dean is trying to convince,"! Dean and Rory are arguing about Dean wanting to spend time together, but Rory has to study for her finals and doesn't want to risk failing."
Mike: Suzie Suzie   Suzie: hm?   Mike: go out with me   Suzie: :*   Mike: I'm serious   Suzie: I'm severus   Mike: we can watch harry potter and eat sushi   Suzie: you're sweet but... Sorry no!!,Mike wants to go out with Suzie but she refuses.,"   Mike asked Suzie to go out with him, but she declined. He then tried to sweeten the deal by suggesting they watch Harry Potter and eat"," Mike asked Suzie to go out with him, but she declined his offer."
Sasha: When are you coming home?   Jacob: in ten?   Sasha: good dinner's almost ready :),Jacob's coming home in 10 minutes. Dinner's almost ready. ,"   Sasha asked Jacob when he was coming home, and Jacob said in ten minutes. Sasha said that dinner was almost ready.",   Jacob: great!   Sasha asked Jacob when he was coming home and Jacob said in ten minutes. Sasha said dinner was almost ready and Jacob said
Benjamin: I'm thinking about starting a book club.   Ashley: That's a gr8 idea!   Benjamin: U think?   Ashley: Sure!   Benjamin: Wanna be co-chair?   Ashley: Absolutely!,Benjamin wants to start a book club. Ashley wants to be the co-chair.,"   Benjamin and Ashley are discussing the idea of starting a book club, and Ashley is enthusiastic about the idea. Benjamin then asks Ashley if she would like",   Benjamin is starting a book club and has asked Ashley to be the co-chair. Ashley has agreed.
"Madelene: pizza 5 o'clock?   John: got it, the usual place?   Madelene: you betcha   John: this will be a wonderful evening, my friend, just us, pizza, and some prosecco :D   Madelene: can't wait xD",Madelene and John will have pizza and prosecco at the usual place at 5 pm.,   Madelene and John are making plans to have pizza together at 5 o'clock at their usual place. John is looking forward to the evening and,   John and Madelene are planning to have pizza and prosecco at the usual place in the evening. Madelene is looking forward to it
James: How are you feeling?   Mia: not so good   Mia: she said while a yellowish fluid ran down from her nose to her chin   James: haha I bet you still look cute af <3   Mia: will you bring me food   James: anything   Mia: I need mac n cheese now   Mia: :( comfort food,Mia is sick. James will bring mac & cheese to comfort her.,"   James asked Mia how she was feeling and she said she was not feeling well. James joked that she still looked cute, and Mia asked him to bring", James offered to bring Mia comfort food after she mentioned feeling unwell and having a yellowish fluid running down her face.
"Joe: sorry, Illl be late!   Joe: horrible traffic :(   Jordan: no problem man   Jordan: I'll wait   Joe: thanks",Joe will be late because of traffic.,"   Joe was running late and apologized to Jordan, who was understanding and said he would wait. Joe thanked Jordan for his understanding.","!   Joe is running late due to traffic, and Jordan will wait for him."
"Donna: Beanie honey 😍   Donna: That new Ari's song is 😍😍😍😍   Ben: Totally!   Donna: Would you like to go to her show with me when she's in Berlin?   Ben: I might. How much a single ticket costs?   Donna: Around 120 euro. It's a bargain!   Ben: Okay, it's not bad. I can go if you wish.   Donna: That's so sweet of you! 😊   Ben: Anything for you my lady 😊",Donna and Ben will go to Ari's concert in Berlin. The ticket costs around 120 euros.,   Donna and Ben are discussing Ari's new song and Donna suggests going to her show in Berlin. Ben asks how much a ticket costs and Donna says,"   In this conversation, Donna asked Ben if he would like to go to an Ari's show with her in Berlin. Ben asked how much a single ticket costs"
"Kim: I don’t know if I'll be able to sleep   Kim: I'm just tossing and turning in bed   Kerri: lol just count sheep and you'll fall asleep   Kim: I tried and it didn't work, i'm just so excited XD   Kerri: I would be too if I were going backpacking through Europe for a month   Kim: I can't believe it's finally happening   Kerri: how long have you been planning for this?   Kim: probably more than six months   Kerri: whoah that's a long time \ (•◡•) /   Kim: yes, and I originally was going for just a week   Kerri: how come your plans changed?   Kim: turns out my mom has a friend in paris and I'll stay there for two weeks :-D   Kerri: sweet! is It a nice place?   Kim: no idea, my mother says it's near the eiffel tower   Kerri: I think that's a nice area, full of people and life...   Kim: and patisserie and wine…   Kerri: lol that's all you care about   Kim: hahaha not true, I'm also looking forward to go to the museums   Kerri: you have to go to the louvre   Kim: of course! it's a the top of my list   Kerri: it's beautiful, you're going to love it   Kim: I CAN'T WAIT!!!",Kim is going backpacking through Europe for a month. She will stay at her mom's friend's place in Paris for two weeks. Kerri recons the Louvre is a must.,"
Kim and Kerri are discussing Kim's upcoming trip to Europe. Kim has been planning the trip for more than six months and originally planned to stay for only","   Kim is planning a backpacking trip through Europe for a month and has been planning it for more than six months. Originally, the plan was for a"
"Fish: Hi, babe. What are we gonna do for weekend?   Babe: I don't know. What d'you wonna do?   Fish: Anything my babe wants.   Babe: Cool, hon.   Babe: But just can't think of anything.   Fish: I guess we can hang out in the pub?   Babe: Cool. It's karaoke night:)",Fish and Babe are going to a pub for karaoke night at the weekend.,"   Fish and Babe are discussing plans for the weekend. Fish is open to doing whatever Babe wants, and Babe suggests going to the pub for karaoke","     Fish and Babe are planning to hang out at the pub for the weekend, as it is karaoke night."
